"filename", "language", "PHP", "JavaScript", "HTML", "Markdown", "CSS", "XML", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\laragon\www\grado\public\vendors\flot\jquery.flot.categories.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 51, 31, 203
"c:\laragon\www\grado\public\vendors\flot\jquery.flot.fillbetween.js", "JavaScript", 0, 171, 0, 0, 0, 0, 0, 0, 0, 43, 41, 255
"c:\laragon\www\grado\public\vendors\flot\jquery.flot.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\laragon\www\grado\public\vendors\flot\jquery.flot.pie.js", "JavaScript", 0, 532, 0, 0, 0, 0, 0, 0, 0, 128, 127, 787
"c:\laragon\www\grado\public\vendors\flot\jquery.flot.resize.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 24, 10, 61
"c:\laragon\www\grado\public\vendors\flot\jquery.flot.stack.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 47, 33, 221
"c:\laragon\www\grado\public\vendors\font-awesome\css\font-awesome.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 5
"c:\laragon\www\grado\public\vendors\fullcalendar\fullcalendar.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\laragon\www\grado\public\vendors\fullcalendar\fullcalendar.min.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 5, 0, 12
"c:\laragon\www\grado\public\vendors\inputmask\inputmask.binding.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 1, 33
"c:\laragon\www\grado\public\vendors\inputmask\jquery.inputmask.bundle.js", "JavaScript", 0, 3815, 0, 0, 0, 0, 0, 0, 0, 7, 45, 3867
"c:\laragon\www\grado\public\vendors\ion-rangeslider\css\ion.rangeSlider.css", "CSS", 0, 0, 0, 0, 670, 0, 0, 0, 0, 5, 1, 676
"c:\laragon\www\grado\public\vendors\ion-rangeslider\js\ion.rangeSlider.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\laragon\www\grado\public\vendors\jquery-asColorPicker\css\asColorPicker.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 1, 10
"c:\laragon\www\grado\public\vendors\jquery-asColorPicker\jquery-asColorPicker.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 1, 10
"c:\laragon\www\grado\public\vendors\jquery-asColor\jquery-asColor.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 1, 10
"c:\laragon\www\grado\public\vendors\jquery-asGradient\jquery-asGradient.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 1, 10
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\bars-1to10.css", "CSS", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\bars-horizontal.css", "CSS", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 51
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\bars-movie.css", "CSS", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\bars-pill.css", "CSS", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 62
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\bars-reversed.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 1, 58
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\bars-square.css", "CSS", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\bootstrap-stars.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\css-stars.css", "CSS", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\examples.css", "CSS", 0, 0, 0, 0, 152, 0, 0, 0, 0, 4, 1, 157
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\fontawesome-stars-o.css", "CSS", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 57
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\fontawesome-stars.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\laragon\www\grado\public\vendors\jquery-bar-rating\jquery.barrating.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\laragon\www\grado\public\vendors\jquery-contextmenu\jquery.contextMenu.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 14, 1, 17
"c:\laragon\www\grado\public\vendors\jquery-contextmenu\jquery.contextMenu.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\laragon\www\grado\public\vendors\jquery-file-upload\jquery.uploadfile.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\laragon\www\grado\public\vendors\jquery-file-upload\uploadfile.css", "CSS", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 9, 146
"c:\laragon\www\grado\public\vendors\jquery-mapael\france_departments.min.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\laragon\www\grado\public\vendors\jquery-mapael\jquery.mapael.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\laragon\www\grado\public\vendors\jquery-mapael\usa_states.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\laragon\www\grado\public\vendors\jquery-mapael\world_countries.min.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\laragon\www\grado\public\vendors\jquery-sparkline\jquery.sparkline.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\laragon\www\grado\public\vendors\jquery-steps\jquery.steps.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
